label,i,j,K_ij
fcnn,31,21,48.765628814697266
fcnn,31,22,49.4772834777832
fcnn,31,23,47.72467041015625
fcnn,31,24,46.457523345947266
fcnn,31,25,50.546348571777344
fcnn,31,26,45.6900634765625
fcnn,31,27,46.7049560546875
fcnn,31,28,46.884098052978516
fcnn,31,29,28.87998390197754
fcnn,31,30,50.744468688964844
fcnn,32,0,55.59490203857422
fcnn,32,1,47.512516021728516
fcnn,32,2,47.97295379638672
fcnn,32,3,54.245033264160156
fcnn,32,4,52.5410270690918
fcnn,32,5,32.3507194519043
fcnn,32,6,45.917903900146484
fcnn,32,7,34.644004821777344
fcnn,32,8,48.9367790222168
fcnn,32,9,25.350141525268555
fcnn,32,10,46.93596267700195
fcnn,32,11,52.07297134399414
fcnn,32,12,53.237953186035156
fcnn,32,13,36.42835998535156
fcnn,32,14,44.17771911621094
fcnn,32,15,42.44972229003906
fcnn,32,16,50.90670394897461
fcnn,32,17,46.93594741821289
fcnn,32,18,29.139301300048828
fcnn,32,19,44.53163146972656
fcnn,32,20,37.384002685546875
fcnn,32,21,51.09281921386719
fcnn,32,22,51.714569091796875
fcnn,32,23,53.3726806640625
fcnn,32,24,49.580657958984375
fcnn,32,25,45.332725524902344
fcnn,32,26,44.39182662963867
fcnn,32,27,52.210174560546875
fcnn,32,28,43.760616302490234
fcnn,32,29,21.97783660888672
fcnn,32,30,47.60302734375
fcnn,32,31,46.33534240722656
fcnn,33,0,41.993343353271484
fcnn,33,1,39.23297119140625
fcnn,33,2,53.84033203125
fcnn,33,3,40.14616394042969
fcnn,33,4,43.88529586791992
fcnn,33,5,36.29959487915039
fcnn,33,6,38.999725341796875
fcnn,33,7,29.109987258911133
fcnn,33,8,46.397438049316406
fcnn,33,9,28.338409423828125
fcnn,33,10,51.23600769042969
fcnn,33,11,38.71327209472656
fcnn,33,12,42.519981384277344
fcnn,33,13,31.68465805053711
fcnn,33,14,41.10285949707031
fcnn,33,15,34.35669708251953
fcnn,33,16,40.26296615600586
fcnn,33,17,36.494285583496094
fcnn,33,18,27.728872299194336
fcnn,33,19,36.95320129394531
fcnn,33,20,40.10166931152344
fcnn,33,21,40.48200988769531
fcnn,33,22,42.659881591796875
fcnn,33,23,37.65961456298828
fcnn,33,24,42.784027099609375
fcnn,33,25,48.953208923339844
fcnn,33,26,43.04475402832031
fcnn,33,27,38.351722717285156
fcnn,33,28,38.6248779296875
fcnn,33,29,32.7789192199707
fcnn,33,30,39.76857376098633
fcnn,33,31,45.46440887451172
fcnn,33,32,38.39254379272461
fcnn,34,0,52.30550003051758
fcnn,34,1,45.46207046508789
fcnn,34,2,50.26251220703125
fcnn,34,3,56.80519104003906
fcnn,34,4,51.86619567871094
fcnn,34,5,30.53181266784668
fcnn,34,6,49.916107177734375
fcnn,34,7,36.62921905517578
fcnn,34,8,51.01385498046875
fcnn,34,9,29.570371627807617
fcnn,34,10,46.36542510986328
fcnn,34,11,49.421531677246094
fcnn,34,12,52.45710754394531
fcnn,34,13,34.53784942626953
fcnn,34,14,43.510963439941406
fcnn,34,15,42.87909698486328
fcnn,34,16,52.17542266845703
fcnn,34,17,45.72857666015625
fcnn,34,18,30.508785247802734
fcnn,34,19,41.14866638183594
fcnn,34,20,36.90564727783203
fcnn,34,21,50.40576934814453
fcnn,34,22,54.61375427246094
fcnn,34,23,50.585731506347656
fcnn,34,24,46.7664909362793
fcnn,34,25,45.903751373291016
fcnn,34,26,45.66374969482422
fcnn,34,27,53.31035614013672
fcnn,34,28,47.6424560546875
fcnn,34,29,22.280275344848633
fcnn,34,30,50.50917053222656
fcnn,34,31,49.22934341430664
fcnn,34,32,49.78691101074219
fcnn,34,33,38.48298263549805
fcnn,35,0,63.046241760253906
fcnn,35,1,49.05689239501953
fcnn,35,2,54.57615661621094
fcnn,35,3,54.62781524658203
fcnn,35,4,55.061927795410156
fcnn,35,5,42.527591705322266
fcnn,35,6,52.740562438964844
fcnn,35,7,36.09480285644531
fcnn,35,8,56.88777160644531
fcnn,35,9,31.275814056396484
fcnn,35,10,52.39778518676758
fcnn,35,11,52.50074768066406
fcnn,35,12,56.90394592285156
fcnn,35,13,41.37349319458008
fcnn,35,14,46.231666564941406
fcnn,35,15,48.56138229370117
fcnn,35,16,54.94807052612305
fcnn,35,17,51.57670593261719
fcnn,35,18,32.67420196533203
fcnn,35,19,49.69890594482422
fcnn,35,20,42.775245666503906
fcnn,35,21,55.430320739746094
fcnn,35,22,55.464447021484375
fcnn,35,23,53.152427673339844
fcnn,35,24,54.216285705566406
fcnn,35,25,50.7435417175293
fcnn,35,26,51.587005615234375
fcnn,35,27,56.74518585205078
fcnn,35,28,49.201087951660156
fcnn,35,29,26.988168716430664
fcnn,35,30,54.43535232543945
fcnn,35,31,48.624267578125
fcnn,35,32,49.84836959838867
fcnn,35,33,42.20476531982422
fcnn,35,34,51.2148551940918
fcnn,36,0,56.395057678222656
fcnn,36,1,49.115150451660156
fcnn,36,2,53.50688171386719
fcnn,36,3,53.33488845825195
fcnn,36,4,54.614013671875
fcnn,36,5,38.31560516357422
fcnn,36,6,49.466644287109375
fcnn,36,7,42.98072814941406
fcnn,36,8,56.28248596191406
fcnn,36,9,32.84904479980469
fcnn,36,10,51.49351119995117
fcnn,36,11,51.085731506347656
fcnn,36,12,51.66353988647461
fcnn,36,13,39.667999267578125
fcnn,36,14,46.18986129760742
fcnn,36,15,45.98035430908203
fcnn,36,16,54.81884765625
fcnn,36,17,47.71977615356445
fcnn,36,18,32.88289260864258
fcnn,36,19,48.861114501953125
fcnn,36,20,40.409820556640625
fcnn,36,21,52.08567810058594
fcnn,36,22,52.18910217285156
fcnn,36,23,51.01923370361328
fcnn,36,24,50.82048416137695
fcnn,36,25,49.73237609863281
fcnn,36,26,51.68885040283203
fcnn,36,27,50.89649200439453
fcnn,36,28,52.35767364501953
fcnn,36,29,26.410140991210938
fcnn,36,30,53.933433532714844
fcnn,36,31,49.966163635253906
fcnn,36,32,48.34972381591797
fcnn,36,33,42.0120964050293
fcnn,36,34,50.747623443603516
fcnn,36,35,53.1335563659668
fcnn,37,0,58.8389778137207
fcnn,37,1,47.535789489746094
fcnn,37,2,56.78684997558594
fcnn,37,3,53.14147186279297
fcnn,37,4,56.17678451538086
fcnn,37,5,39.79811477661133
fcnn,37,6,51.936832427978516
fcnn,37,7,39.17158126831055
fcnn,37,8,55.824039459228516
fcnn,37,9,33.324703216552734
fcnn,37,10,52.75200653076172
fcnn,37,11,54.07636260986328
fcnn,37,12,54.97886657714844
fcnn,37,13,41.611053466796875
fcnn,37,14,49.690704345703125
fcnn,37,15,46.842079162597656
fcnn,37,16,53.40814208984375
fcnn,37,17,50.603912353515625
fcnn,37,18,36.567649841308594
fcnn,37,19,46.97850799560547
fcnn,37,20,43.394935607910156
fcnn,37,21,54.71792221069336
fcnn,37,22,55.76448059082031
fcnn,37,23,53.313507080078125
fcnn,37,24,55.29791259765625
fcnn,37,25,50.50438690185547
fcnn,37,26,50.27943801879883
fcnn,37,27,53.26171875
fcnn,37,28,48.0997314453125
fcnn,37,29,28.030567169189453
fcnn,37,30,53.053955078125
fcnn,37,31,49.78260040283203
fcnn,37,32,51.861167907714844
fcnn,37,33,46.055259704589844
fcnn,37,34,50.57356262207031
fcnn,37,35,55.915306091308594
fcnn,37,36,52.9604606628418
fcnn,38,0,56.46746063232422
fcnn,38,1,43.637359619140625
fcnn,38,2,57.02210235595703
fcnn,38,3,51.92501449584961
fcnn,38,4,53.64008331298828
fcnn,38,5,37.743568420410156
fcnn,38,6,47.226417541503906
fcnn,38,7,35.68479919433594
fcnn,38,8,50.61768341064453
fcnn,38,9,28.52153778076172
fcnn,38,10,54.7601318359375
fcnn,38,11,52.54689025878906
fcnn,38,12,52.12517547607422
fcnn,38,13,41.844764709472656
fcnn,38,14,45.401737213134766
fcnn,38,15,45.375572204589844
fcnn,38,16,54.4459342956543
fcnn,38,17,47.33416748046875
fcnn,38,18,30.879993438720703
fcnn,38,19,42.827537536621094
fcnn,38,20,48.47168731689453
fcnn,38,21,53.02299499511719
fcnn,38,22,51.31123352050781
fcnn,38,23,49.5216064453125
fcnn,38,24,50.45540237426758
fcnn,38,25,55.06763458251953
fcnn,38,26,47.15171432495117
fcnn,38,27,47.645416259765625
fcnn,38,28,45.625755310058594
fcnn,38,29,30.604896545410156
fcnn,38,30,48.995880126953125
fcnn,38,31,54.00056838989258
fcnn,38,32,49.12482452392578
fcnn,38,33,46.95707702636719
fcnn,38,34,46.31709289550781
fcnn,38,35,52.543548583984375
fcnn,38,36,49.699188232421875
fcnn,38,37,53.13826370239258
fcnn,39,0,55.078643798828125
fcnn,39,1,42.03824234008789
fcnn,39,2,53.81498718261719
fcnn,39,3,50.34122085571289
fcnn,39,4,52.20870590209961
fcnn,39,5,34.208274841308594
fcnn,39,6,48.331172943115234
fcnn,39,7,37.58149337768555
fcnn,39,8,52.53762435913086
fcnn,39,9,31.815555572509766
fcnn,39,10,48.057151794433594
fcnn,39,11,51.74449920654297
fcnn,39,12,48.00564956665039
fcnn,39,13,37.32157897949219
fcnn,39,14,43.6531867980957
fcnn,39,15,43.702327728271484
fcnn,39,16,52.563270568847656
fcnn,39,17,46.204830169677734
fcnn,39,18,34.628990173339844
fcnn,39,19,43.913002014160156
fcnn,39,20,38.606605529785156
fcnn,39,21,50.874351501464844
fcnn,39,22,51.045310974121094
fcnn,39,23,49.11676025390625
fcnn,39,24,48.021209716796875
fcnn,39,25,45.555450439453125
fcnn,39,26,47.9176025390625
fcnn,39,27,49.41591262817383
fcnn,39,28,47.688133239746094
fcnn,39,29,24.36674690246582
fcnn,39,30,51.631317138671875
fcnn,39,31,46.93065643310547
fcnn,39,32,45.87842559814453
fcnn,39,33,38.097862243652344
fcnn,39,34,47.476566314697266
fcnn,39,35,52.22535705566406
fcnn,39,36,49.43028259277344
fcnn,39,37,53.416351318359375
fcnn,39,38,49.337677001953125
