Slopes for M scaling:
Configuration | Slope | R^2 | Points
N=16, D_IN=20, L=30 | 0.968 | 0.997 | 8
N=8, D_IN=500, L=10 | 0.999 | 1.000 | 8
N=8, D_IN=20, L=56 | 0.958 | 0.995 | 8
N=8, D_IN=1000, L=6 | 0.999 | 1.000 | 8
N=8, D_IN=1000, L=4 | 1.001 | 1.000 | 8
N=10, D_IN=100, L=26 | 0.992 | 1.000 | 8
N=16, D_IN=50, L=22 | 0.887 | 0.987 | 8
N=8, D_IN=100, L=30 | 0.987 | 0.999 | 8
N=10, D_IN=100, L=20 | 0.988 | 1.000 | 8
N=8, D_IN=20, L=50 | 0.969 | 0.999 | 8
N=16, D_IN=20, L=46 | 1.039 | 0.693 | 7
N=8, D_IN=2000, L=6 | 1.000 | 1.000 | 7
N=50, D_IN=20, L=6 | 0.988 | 0.999 | 7
N=32, D_IN=200, L=6 | 0.999 | 1.000 | 7
N=16, D_IN=50, L=32 | 0.975 | 0.999 | 7
N=40, D_IN=20, L=8 | 0.806 | 0.979 | 7
N=8, D_IN=100, L=40 | 0.983 | 1.000 | 7
N=8, D_IN=500, L=22 | 1.001 | 1.000 | 7
N=25, D_IN=20, L=30 | 0.925 | 0.987 | 7
N=16, D_IN=500, L=6 | 1.000 | 1.000 | 7
N=16, D_IN=500, L=2 | 1.001 | 1.000 | 7
N=32, D_IN=200, L=4 | 0.998 | 1.000 | 7
N=10, D_IN=20, L=48 | 0.941 | 0.999 | 7
N=16, D_IN=50, L=34 | 0.962 | 0.999 | 7
N=8, D_IN=200, L=30 | 0.994 | 1.000 | 7
N=40, D_IN=20, L=16 | 0.960 | 0.999 | 7
N=8, D_IN=1000, L=16 | 1.000 | 1.000 | 7
N=8, D_IN=2000, L=4 | 0.999 | 1.000 | 7
N=50, D_IN=20, L=4 | 1.002 | 0.998 | 7
N=16, D_IN=20, L=38 | 0.928 | 0.989 | 7
N=25, D_IN=50, L=18 | 0.990 | 1.000 | 7
N=64, D_IN=50, L=2 | 0.999 | 1.000 | 7
N=8, D_IN=1000, L=12 | 1.000 | 1.000 | 7
N=8, D_IN=500, L=18 | 0.997 | 1.000 | 7
N=8, D_IN=50, L=58 | 0.964 | 0.999 | 6
N=10, D_IN=20, L=90 | 0.967 | 0.998 | 6
N=25, D_IN=200, L=8 | 1.001 | 1.000 | 6
N=10, D_IN=100, L=44 | 0.989 | 1.000 | 6
N=10, D_IN=1000, L=8 | 1.000 | 1.000 | 6
N=8, D_IN=50, L=80 | 0.991 | 1.000 | 6
N=10, D_IN=200, L=36 | 0.996 | 1.000 | 6
N=25, D_IN=20, L=44 | 0.937 | 1.000 | 6
N=8, D_IN=2000, L=14 | 1.000 | 1.000 | 6
N=10, D_IN=200, L=30 | 0.990 | 1.000 | 6
N=8, D_IN=1000, L=22 | 0.999 | 1.000 | 6
N=10, D_IN=20, L=58 | 1.026 | 0.907 | 6
N=25, D_IN=50, L=28 | 0.966 | 0.997 | 6
N=25, D_IN=200, L=14 | 1.015 | 1.000 | 6
N=16, D_IN=100, L=36 | 0.989 | 0.999 | 6
N=32, D_IN=50, L=22 | 0.976 | 0.998 | 6
N=8, D_IN=200, L=40 | 0.981 | 0.999 | 6
N=50, D_IN=50, L=2 | 0.995 | 1.000 | 6
N=8, D_IN=2000, L=10 | 1.001 | 1.000 | 6
N=40, D_IN=20, L=18 | 0.368 | 0.512 | 6
N=40, D_IN=20, L=22 | 1.002 | 0.988 | 6
N=16, D_IN=20, L=52 | 1.032 | 0.960 | 6
N=40, D_IN=50, L=10 | 0.993 | 1.000 | 6
N=8, D_IN=20, L=120 | 0.966 | 0.996 | 6
N=10, D_IN=500, L=24 | 1.018 | 1.000 | 6
N=32, D_IN=50, L=24 | 0.996 | 0.998 | 6
N=16, D_IN=500, L=16 | 0.997 | 1.000 | 6
N=16, D_IN=500, L=12 | 0.997 | 1.000 | 6
N=50, D_IN=20, L=14 | 0.934 | 0.999 | 6
N=10, D_IN=500, L=26 | 0.995 | 1.000 | 6
N=16, D_IN=100, L=28 | 0.996 | 1.000 | 6
N=8, D_IN=5000, L=10 | 1.000 | 1.000 | 5
N=8, D_IN=1000, L=28 | 0.998 | 1.000 | 5
N=10, D_IN=200, L=40 | 0.982 | 1.000 | 5
N=8, D_IN=20, L=190 | 0.995 | 1.000 | 5
N=50, D_IN=50, L=14 | 0.996 | 1.000 | 5
N=16, D_IN=500, L=20 | 0.998 | 1.000 | 5
N=16, D_IN=500, L=24 | 0.999 | 1.000 | 5
N=10, D_IN=2000, L=8 | 1.001 | 1.000 | 5
N=10, D_IN=100, L=48 | 0.961 | 0.998 | 5
N=25, D_IN=1000, L=4 | 0.999 | 1.000 | 5
N=8, D_IN=20, L=180 | 0.989 | 1.000 | 5
N=16, D_IN=50, L=48 | 0.975 | 1.000 | 5
N=10, D_IN=5000, L=2 | 0.998 | 1.000 | 5
N=8, D_IN=100, L=70 | 0.990 | 1.000 | 5
N=8, D_IN=100, L=58 | 0.996 | 1.000 | 5
N=25, D_IN=100, L=34 | 0.995 | 0.999 | 5
N=80, D_IN=20, L=6 | 1.006 | 0.997 | 5
N=8, D_IN=200, L=56 | 0.990 | 0.999 | 5
N=8, D_IN=100, L=90 | 0.993 | 1.000 | 5
N=16, D_IN=200, L=30 | 0.993 | 1.000 | 5
N=16, D_IN=20, L=58 | 0.980 | 1.000 | 5
N=32, D_IN=100, L=26 | 0.973 | 0.998 | 5
N=25, D_IN=500, L=16 | 0.998 | 1.000 | 5
N=16, D_IN=200, L=32 | 0.991 | 1.000 | 5
N=25, D_IN=100, L=28 | 0.983 | 1.000 | 5
N=16, D_IN=20, L=90 | 1.001 | 0.999 | 5
N=10, D_IN=500, L=32 | 0.999 | 1.000 | 5
N=8, D_IN=1000, L=32 | 1.003 | 1.000 | 5
N=50, D_IN=20, L=18 | 0.973 | 0.997 | 5
N=16, D_IN=2000, L=6 | 1.000 | 1.000 | 5
N=8, D_IN=5000, L=16 | 1.000 | 1.000 | 5
N=8, D_IN=500, L=42 | 0.999 | 1.000 | 5
N=8, D_IN=200, L=50 | 0.993 | 1.000 | 5
N=16, D_IN=1000, L=16 | 1.010 | 1.000 | 5
N=64, D_IN=20, L=14 | 0.969 | 0.997 | 5
N=8, D_IN=50, L=140 | 0.985 | 1.000 | 5
N=10, D_IN=2000, L=12 | 1.001 | 1.000 | 5
N=32, D_IN=50, L=34 | 0.980 | 1.000 | 5
N=10, D_IN=20, L=100 | 0.977 | 1.000 | 5
N=16, D_IN=100, L=42 | 0.983 | 0.999 | 5
N=32, D_IN=50, L=44 | 0.957 | 0.999 | 4
N=40, D_IN=20, L=46 | 0.933 | 0.998 | 4
N=50, D_IN=50, L=20 | 0.985 | 1.000 | 4
N=8, D_IN=5000, L=26 | 1.000 | 1.000 | 4
N=8, D_IN=20, L=200 | 1.000 | 1.000 | 4
N=16, D_IN=100, L=52 | 0.984 | 0.995 | 4
N=16, D_IN=500, L=34 | 0.999 | 1.000 | 4
N=40, D_IN=20, L=40 | 0.980 | 1.000 | 4
N=100, D_IN=20, L=6 | 0.898 | 0.999 | 4
N=80, D_IN=50, L=6 | 0.982 | 1.000 | 4
N=10, D_IN=50, L=110 | 0.999 | 1.000 | 4
N=80, D_IN=20, L=12 | 0.926 | 0.996 | 4
N=25, D_IN=500, L=26 | 0.995 | 1.000 | 4
N=32, D_IN=100, L=34 | 0.964 | 0.999 | 4
N=32, D_IN=100, L=30 | 0.973 | 1.000 | 4
N=16, D_IN=1000, L=18 | 0.999 | 1.000 | 4
N=16, D_IN=2000, L=10 | 0.999 | 1.000 | 4
N=10, D_IN=20, L=190 | 1.000 | 1.000 | 4
N=25, D_IN=50, L=56 | 0.985 | 0.999 | 4
N=8, D_IN=200, L=58 | 0.992 | 1.000 | 4
N=10, D_IN=200, L=54 | 0.865 | 0.993 | 4
N=32, D_IN=1000, L=4 | 1.000 | 1.000 | 4
N=10, D_IN=20, L=170 | 1.000 | 1.000 | 4
N=50, D_IN=200, L=2 | 0.997 | 1.000 | 4
N=8, D_IN=2000, L=28 | 0.999 | 1.000 | 4
N=80, D_IN=20, L=8 | 1.014 | 0.999 | 4
N=80, D_IN=50, L=2 | 1.004 | 1.000 | 4
N=8, D_IN=2000, L=30 | 0.999 | 1.000 | 4
N=64, D_IN=20, L=26 | 0.980 | 1.000 | 4
N=10, D_IN=1000, L=32 | 1.000 | 1.000 | 4
N=16, D_IN=2000, L=12 | 0.999 | 1.000 | 4
N=40, D_IN=50, L=30 | 0.977 | 1.000 | 4
N=50, D_IN=50, L=22 | 0.972 | 1.000 | 4
N=25, D_IN=50, L=52 | 0.994 | 1.000 | 4
N=25, D_IN=50, L=54 | 1.214 | 0.942 | 4
N=10, D_IN=100, L=90 | 1.014 | 0.998 | 4
N=25, D_IN=1000, L=8 | 1.000 | 1.000 | 4
N=50, D_IN=50, L=24 | 0.971 | 1.000 | 4
N=10, D_IN=5000, L=14 | 1.000 | 1.000 | 4
N=50, D_IN=20, L=36 | 1.130 | 0.883 | 4
N=32, D_IN=200, L=20 | 1.000 | 1.000 | 4
N=10, D_IN=500, L=44 | 0.998 | 1.000 | 4
N=10, D_IN=50, L=140 | 1.001 | 1.000 | 4
N=25, D_IN=1000, L=16 | 1.000 | 1.000 | 4
N=25, D_IN=20, L=70 | 1.117 | 0.981 | 4
N=10, D_IN=5000, L=12 | 1.002 | 1.000 | 4
N=10, D_IN=1000, L=36 | 0.997 | 1.000 | 4
N=64, D_IN=20, L=22 | 0.904 | 0.837 | 4
N=50, D_IN=20, L=30 | 0.958 | 1.000 | 4
