Slopes for D_IN scaling:
Configuration | Slope | R^2 | Points
N=10, L=32, M=40 | 0.007 | 0.411 | 6
N=10, L=50, M=30 | -0.012 | 0.334 | 5
N=32, L=30, M=20 | 0.020 | 0.694 | 5
N=50, L=18, M=10 | 0.050 | 0.113 | 5
N=10, L=120, M=10 | -0.000 | 0.784 | 5
N=64, L=16, M=10 | -0.000 | 0.000 | 5
N=32, L=28, M=20 | -0.069 | 0.494 | 5
N=40, L=14, M=30 | 0.036 | 0.564 | 5
N=40, L=34, M=10 | -0.000 | 0.003 | 5
N=32, L=2, M=50 | 0.050 | 0.731 | 5
N=10, L=12, M=70 | 0.025 | 0.876 | 5
N=16, L=48, M=20 | -0.000 | 0.110 | 5
N=32, L=16, M=40 | 0.037 | 0.710 | 5
N=8, L=52, M=40 | 0.005 | 0.170 | 5
N=10, L=16, M=70 | 0.020 | 0.902 | 5
N=8, L=24, M=70 | 0.032 | 0.737 | 5
N=25, L=40, M=20 | 0.017 | 0.524 | 5
N=50, L=26, M=10 | -0.010 | 0.021 | 5
N=16, L=16, M=60 | 0.032 | 0.663 | 5
N=25, L=28, M=30 | 0.014 | 0.800 | 5
N=40, L=22, M=20 | 0.041 | 0.917 | 5
N=10, L=8, M=70 | 0.035 | 0.837 | 5
N=16, L=44, M=30 | 0.017 | 0.663 | 5
N=25, L=14, M=50 | 0.024 | 0.914 | 5
N=40, L=12, M=30 | 0.051 | 0.609 | 5
N=8, L=14, M=80 | 0.042 | 0.852 | 5
N=10, L=2, M=80 | 0.037 | 0.827 | 5
N=25, L=4, M=60 | 0.040 | 0.686 | 5
N=25, L=20, M=40 | 0.035 | 0.747 | 5
N=8, L=42, M=50 | 0.018 | 0.837 | 5
N=8, L=2, M=90 | 0.036 | 0.767 | 5
N=40, L=10, M=30 | 0.027 | 0.853 | 5
N=8, L=38, M=50 | 0.014 | 0.216 | 5
N=32, L=36, M=20 | 0.016 | 0.351 | 5
N=10, L=110, M=10 | -0.000 | 0.950 | 5
N=64, L=6, M=20 | 0.033 | 0.877 | 5
N=10, L=130, M=10 | -0.000 | 0.941 | 5
N=10, L=70, M=20 | 0.002 | 0.142 | 5
N=40, L=18, M=20 | 0.003 | 0.510 | 5
N=8, L=140, M=20 | -0.000 | 0.810 | 5
N=8, L=18, M=70 | 0.048 | 0.609 | 5
N=25, L=16, M=50 | 0.027 | 0.470 | 5
N=10, L=16, M=80 | 0.029 | 0.791 | 4
N=16, L=120, M=10 | -0.000 | 0.763 | 4
N=16, L=44, M=40 | 0.030 | 0.637 | 4
N=32, L=14, M=50 | 0.062 | 0.904 | 4
N=40, L=28, M=20 | 0.007 | 0.882 | 4
N=10, L=44, M=50 | 0.029 | 0.759 | 4
N=80, L=6, M=20 | 0.055 | 0.872 | 4
N=40, L=2, M=50 | 0.049 | 0.856 | 4
N=16, L=32, M=50 | 0.022 | 0.857 | 4
N=16, L=140, M=10 | -0.000 | 0.976 | 4
N=8, L=2, M=2000 | 0.061 | 0.947 | 4
N=32, L=36, M=30 | 0.004 | 0.092 | 4
N=16, L=34, M=50 | 0.025 | 0.674 | 4
N=80, L=8, M=10 | 0.048 | 0.870 | 4
N=64, L=24, M=10 | 0.009 | 0.640 | 4
N=40, L=8, M=40 | 0.038 | 0.833 | 4
N=100, L=6, M=10 | 0.007 | 0.315 | 4
N=8, L=100, M=30 | 0.003 | 0.208 | 4
N=8, L=18, M=500 | 0.032 | 0.941 | 4
N=8, L=12, M=500 | 0.040 | 0.940 | 4
N=25, L=22, M=50 | 0.009 | 0.613 | 4
N=16, L=70, M=20 | 0.005 | 0.713 | 4
N=8, L=56, M=50 | 0.016 | 0.136 | 4
N=32, L=6, M=100 | 0.038 | 0.928 | 4
N=16, L=14, M=100 | 0.031 | 0.937 | 4
N=80, L=12, M=10 | 0.001 | 0.003 | 4
N=80, L=2, M=20 | 0.039 | 0.951 | 4
N=50, L=2, M=40 | 0.060 | 0.902 | 4
N=10, L=42, M=50 | 0.021 | 0.818 | 4
N=40, L=6, M=50 | 0.049 | 0.914 | 4
N=8, L=2, M=1000 | 0.058 | 0.750 | 4
N=10, L=34, M=60 | 0.026 | 0.929 | 4
N=64, L=12, M=20 | 0.024 | 0.706 | 4
N=50, L=10, M=30 | 0.032 | 0.915 | 4
N=8, L=6, M=2000 | 0.048 | 0.868 | 4
N=8, L=26, M=80 | 0.030 | 0.604 | 4
N=16, L=8, M=200 | 0.046 | 0.924 | 4
N=8, L=48, M=50 | 0.012 | 0.713 | 4
N=40, L=4, M=50 | 0.049 | 0.841 | 4
N=100, L=2, M=10 | 0.032 | 0.939 | 4
N=32, L=24, M=40 | -0.028 | 0.284 | 4
N=8, L=90, M=40 | 0.006 | 0.629 | 4
N=64, L=14, M=20 | 0.040 | 0.729 | 4
N=10, L=12, M=80 | 0.060 | 0.829 | 4
N=16, L=28, M=50 | 0.017 | 0.671 | 4
N=40, L=14, M=40 | 0.102 | 0.830 | 4
N=32, L=12, M=50 | 0.031 | 0.979 | 4
N=25, L=60, M=10 | -0.001 | 0.904 | 4
N=10, L=80, M=30 | 0.015 | 0.640 | 4
N=8, L=12, M=200 | 0.040 | 0.946 | 4
N=32, L=20, M=40 | 0.072 | 0.733 | 4
N=16, L=4, M=500 | 0.046 | 0.908 | 4
N=16, L=48, M=30 | -0.006 | 0.251 | 4
N=32, L=48, M=10 | 0.003 | 0.624 | 4
N=32, L=50, M=10 | -0.019 | 0.042 | 4
N=10, L=10, M=80 | 0.042 | 0.915 | 4
N=16, L=130, M=10 | -0.000 | 0.851 | 4
N=25, L=16, M=60 | 0.062 | 0.885 | 4
N=32, L=8, M=100 | 0.030 | 0.978 | 4
N=32, L=34, M=30 | 0.038 | 0.932 | 4
N=8, L=12, M=90 | 0.050 | 0.841 | 4
N=16, L=42, M=40 | 0.026 | 0.528 | 4
N=25, L=2, M=70 | 0.044 | 0.931 | 4
